group,phenotype
CarbonUtilization,madin_carbsubs_aspartate
CarbonUtilization,madin_carbsubs_glutamate
CarbonUtilization,madin_carbsubs_malate
CarbonUtilization,madin_carbsubs_propionate
CarbonUtilization,madin_carbsubs_putrescine
CarbonUtilization,madin_carbsubs_pyruvate
CarbonUtilization,madin_carbsubs_asparagine
CarbonUtilization,madin_carbsubs_inosine
CarbonUtilization,madin_carbsubs_methyl pyruvate
CarbonUtilization,madin_carbsubs_thymidine
CarbonUtilization,madin_carbsubs_Tween 40
CarbonUtilization,madin_carbsubs_uridine
CarbonUtilization,madin_carbsubs_3-hydroxybutyrate
CarbonUtilization,madin_carbsubs_valerate
CarbonUtilization,madin_carbsubs_glucosamine
CarbonUtilization,madin_carbsubs_urea
CarbonUtilization,madin_carbsubs_methyl beta-D-glucoside
CarbonUtilization,madin_carbsubs_malonate
CarbonUtilization,madin_carbsubs_galacturonic acid
CarbonUtilization,madin_carbsubs_adipate
CarbonUtilization,madin_carbsubs_pyruvic acid methyl ester
CarbonUtilization,madin_carbsubs_alpha-cyclodextrin
CarbonUtilization,madin_carbsubs_glycogen
CarbonUtilization,madin_carbsubs_leucine
CarbonUtilization,madin_carbsubs_threonine
CarbonUtilization,madin_carbsubs_phenylalanine
CarbonUtilization,madin_carbsubs_formic acid
CarbonUtilization,madin_carbsubs_phenylacetate
CarbonUtilization,madin_carbsubs_glycine
CarbonUtilization,madin_carbsubs_Tween 60
CarbonUtilization,madin_carbsubs_alaninamide
CarbonUtilization,madin_carbsubs_quinic acid
CarbonUtilization,madin_carbsubs_alpha-ketovaleric acid
CarbonUtilization,madin_carbsubs_glucuronamide
CarbonUtilization,madin_carbsubs_caprate
CarbonUtilization,gideon_Adonitol
CarbonUtilization,gideon_Salicin
RespirationMetabolism,gideon_Catalase
BiochemicalActivity,gideon_Gelatin hydrolysis
Morphology,gideon_Coccus
Morphology,gideon_Motile
Morphology,gideon_Coccus - pairs or chains predominate
CarbonUtilization,gideon_Maltose
GrowthConditions,gideon_Growth on ordinary blood agar
CarbonUtilization,gideon_Melibiose
Morphology,gideon_Spore formation
Morphology,gideon_Yellow pigment
RespirationMetabolism,gideon_Nitrate to nitrite
Morphology,gideon_Gram positive
RespirationMetabolism,gideon_Anaerobe
RespirationMetabolism,gideon_Glucose oxidizer
Morphology,gideon_Gram negative
CarbonUtilization,gideon_L-Arabinose
RespirationMetabolism,gideon_Gas from glucose
CarbonUtilization,gideon_Lactose
CarbonUtilization,gideon_Raffinose
CarbonUtilization,gideon_L-Rhamnose
Morphology,gideon_Bacillus or coccobacillus
BiochemicalActivity,gideon_Indole
CarbonUtilization,gideon_D-Xylose
GrowthConditions,gideon_Growth on MacConkey agar
CarbonUtilization,gideon_Citrate
BiochemicalActivity,gideon_Urea hydrolysis
CarbonUtilization,gideon_Glycerol
CarbonUtilization,gideon_D-Mannitol
CarbonUtilization,gideon_Trehalose
BiochemicalActivity,gideon_Arginine dihydrolase
CarbonUtilization,gideon_myo-Inositol
BiochemicalActivity,gideon_ONPG (beta galactosidase)
CarbonUtilization,gideon_D-Mannose
RespirationMetabolism,gideon_Glucose fermenter
RespirationMetabolism,gideon_Aerobe
RespirationMetabolism,gideon_Oxidase
BiochemicalActivity,gideon_Beta hemolysis
BiochemicalActivity,gideon_Hydrogen sulfide
Morphology,gideon_Branching filaments present
RespirationMetabolism,gideon_Facultative
BiochemicalActivity,gideon_Esculin hydrolysis
CarbonUtilization,gideon_Sucrose
CarbonUtilization,gideon_D-Sorbitol
